000001,Australia and Oceania       ,Office Supplies,Online ,H,20160306,517073523,0303126.25
002194,Europe                      ,Beverages      ,Offline,C,20141115,665773904,0096277.68
002195,Middle East and North Africa,Personal Care  ,Online ,L,20200302,871280467,0002681.42
002196,Europe                      ,Beverages      ,Offline,C,20141101,848669660,0141973.56
002197,Middle East and North Africa,Clothes        ,Online ,M,20130625,960490310,0681670.06
002198,Europe                      ,Office Supplies,Offline,M,20101030,289603745,1141173.75
002199,Europe                      ,Meat           ,Offline,M,20190221,689183795,0209066.00
002200,Europe                      ,Cosmetics      ,Online ,H,20200209,932716786,0083283.73
002201,Europe                      ,Clothes        ,Online ,L,20121216,764001548,0285755.03
002202,Australia and Oceania       ,Office Supplies,Offline,L,20191027,447149407,0038001.25
002203,Asia                        ,Office Supplies,Offline,C,20160312,316584193,0398066.25
002204,Asia                        ,Meat           ,Offline,L,20110306,327042233,0452966.81
002205,Sub-Saharan Africa          ,Snacks         ,Offline,M,20100105,503572356,0391824.84
002206,Asia                        ,Fruits         ,Offline,L,20190616,491535890,0012647.68
002207,Asia                        ,Meat           ,Offline,H,20100430,906606662,0223823.59
002208,Central America and the Cari,Fruits         ,Offline,H,20190216,184771001,0016147.00
002209,Europe                      ,Fruits         ,Online ,M,20140505,432327735,0010215.99
002210,Europe                      ,Baby Food      ,Online ,L,20190606,675888192,0881049.25
002211,North America               ,Baby Food      ,Online ,M,20110326,912376201,0119633.28
002212,Europe                      ,Personal Care  ,Offline,H,20101115,759028089,0053478.04
002213,Australia and Oceania       ,Cosmetics      ,Offline,H,20140330,803392684,0104843.61
002214,Asia                        ,Beverages      ,Offline,H,20180926,353331315,0116557.38
002215,Australia and Oceania       ,Cereal         ,Online ,M,20171126,587017810,0041637.30
002216,Sub-Saharan Africa          ,Household      ,Online ,M,20170629,502938497,1579738.38
002217,Europe                      ,Snacks         ,Offline,L,20190531,969892203,0083316.54
002218,Central America and the Cari,Fruits         ,Offline,M,20160517,676990258,0012811.56
002219,Sub-Saharan Africa          ,Cereal         ,Offline,M,20180823,183656489,0610473.69
002220,Europe                      ,Snacks         ,Offline,C,20160805,569627225,0232084.27
002221,Sub-Saharan Africa          ,Office Supplies,Offline,M,20180223,284951293,0287218.75
002222,Europe                      ,Fruits         ,Offline,L,20110506,999990022,0019578.84
002223,Europe                      ,Cereal         ,Online ,M,20120614,855417239,0516036.75
002224,Europe                      ,Cosmetics      ,Offline,L,20171114,312219274,0256632.13
002225,North America               ,Cosmetics      ,Online ,C,20200223,801694953,1426951.13
002226,Asia                        ,Cereal         ,Online ,L,20130501,675455605,0104447.61
002227,Asia                        ,Vegetables     ,Online ,M,20190919,155425059,0163127.92
002228,Europe                      ,Baby Food      ,Online ,C,20200427,883839643,0637085.56
002229,Europe                      ,Fruits         ,Online ,L,20130916,973248183,0011134.20
002230,Sub-Saharan Africa          ,Baby Food      ,Online ,M,20100823,856512010,0938661.13
002231,Europe                      ,Cosmetics      ,Online ,M,20180116,136804950,0431197.59
002232,Sub-Saharan Africa          ,Meat           ,Offline,M,20120331,737613332,0287773.19
002233,Europe                      ,Baby Food      ,Offline,H,20190323,152735984,0654436.25
002234,Australia and Oceania       ,Cosmetics      ,Offline,M,20121221,896284234,1612992.00
002235,Sub-Saharan Africa          ,Household      ,Online ,M,20170214,152681910,0136727.25
002236,Sub-Saharan Africa          ,Beverages      ,Online ,L,20140112,126665341,0030443.04
002237,Asia                        ,Personal Care  ,Online ,C,20140418,393283355,0003483.34
002238,Asia                        ,Snacks         ,Offline,H,20190425,147897279,0272722.44
002239,Europe                      ,Cereal         ,Online ,M,20151216,456180942,0259834.47
002240,Sub-Saharan Africa          ,Meat           ,Online ,H,20131225,204120671,0154268.41
002241,Sub-Saharan Africa          ,Cosmetics      ,Offline,L,20190424,148015296,1716096.88
002242,Central America and the Cari,Fruits         ,Online ,C,20171220,664476144,0005089.92
002243,Asia                        ,Household      ,Online ,L,20130715,400427043,0681978.94
002244,Europe                      ,Vegetables     ,Offline,H,20110204,323104321,0164390.52
002245,Middle East and North Africa,Cereal         ,Online ,L,20111118,570056807,0118001.88
002246,Sub-Saharan Africa          ,Personal Care  ,Offline,L,20180820,899145829,0152540.22
002247,Sub-Saharan Africa          ,Household      ,Online ,H,20190724,238545215,1605095.00
002248,Australia and Oceania       ,Clothes        ,Online ,C,20150123,736741292,0512244.00
002249,Europe                      ,Office Supplies,Online ,C,20120523,112532889,1242047.50
002250,Asia                        ,Cereal         ,Online ,L,20200421,205031335,0193391.97
002251,Asia                        ,Fruits         ,Offline,C,20110820,223660457,0011939.14
002252,Sub-Saharan Africa          ,Beverages      ,Online ,C,20140309,798156583,0017617.50
002253,Australia and Oceania       ,Meat           ,Online ,H,20191103,828568542,0039982.80
002254,Sub-Saharan Africa          ,Baby Food      ,Offline,L,20110414,635257661,0547744.06
002255,Europe                      ,Personal Care  ,Online ,L,20100222,608897769,0131214.16
002256,Central America and the Cari,Cereal         ,Online ,L,20180227,760475194,0032246.76
002257,Europe                      ,Meat           ,Offline,L,20111031,271288764,0527898.81
002258,Sub-Saharan Africa          ,Meat           ,Offline,L,20111216,642949807,0113885.20
002259,Europe                      ,Baby Food      ,Offline,L,20140131,747382152,0560014.13
002260,Europe                      ,Office Supplies,Online ,H,20150413,876822125,0000883.75
002261,Sub-Saharan Africa          ,Personal Care  ,Offline,L,20190614,493818557,0018544.40
002262,Sub-Saharan Africa          ,Snacks         ,Online ,C,20100817,481232774,0348870.78
002263,Sub-Saharan Africa          ,Personal Care  ,Offline,H,20111007,892238605,0052250.10
002264,Sub-Saharan Africa          ,Fruits         ,Offline,H,20150401,500322377,0012929.65
002265,Central America and the Cari,Cereal         ,Online ,L,20200422,849282920,0048192.96
002266,Sub-Saharan Africa          ,Cosmetics      ,Offline,H,20161226,403231561,0701391.56
002267,Sub-Saharan Africa          ,Clothes        ,Offline,L,20121114,396592128,0681449.75
002268,Asia                        ,Household      ,Online ,C,20170120,784100949,0290027.50
002269,Europe                      ,Cereal         ,Offline,H,20130524,690806853,0350284.88
002270,Sub-Saharan Africa          ,Clothes        ,Offline,C,20190504,662071168,0031285.44
002271,Middle East and North Africa,Meat           ,Online ,L,20160527,413567721,0156384.80
002272,Sub-Saharan Africa          ,Baby Food      ,Online ,M,20190913,181282842,0429069.38
002273,Sub-Saharan Africa          ,Beverages      ,Online ,C,20190206,271515357,0098391.78
002274,Europe                      ,Snacks         ,Online ,L,20160904,610876595,0044883.96
002275,Sub-Saharan Africa          ,Cosmetics      ,Online ,H,20100831,296290385,1349926.63
002276,Middle East and North Africa,Office Supplies,Online ,L,20110627,744993054,1117943.75
002277,Sub-Saharan Africa          ,Snacks         ,Offline,H,20150113,744533431,0156707.88
002278,Middle East and North Africa,Personal Care  ,Offline,C,20180913,502772843,0012830.72
002279,Sub-Saharan Africa          ,Baby Food      ,Offline,C,20160115,297885119,0928020.69
002280,Sub-Saharan Africa          ,Cereal         ,Online ,L,20121019,928356587,0017629.41
002281,Sub-Saharan Africa          ,Beverages      ,Offline,C,20101120,562986075,0140078.70
002282,Middle East and North Africa,Fruits         ,Offline,H,20130916,590884912,0011642.71
002283,Sub-Saharan Africa          ,Cosmetics      ,Offline,H,20100220,671476924,0660358.25
002284,Asia                        ,Fruits         ,Online ,M,20111211,984498441,0009208.61
002285,Central America and the Cari,Office Supplies,Offline,C,20160507,879998290,1250380.00
002286,Asia                        ,Cereal         ,Online ,C,20110523,228337800,0804751.56
002287,Sub-Saharan Africa          ,Beverages      ,Offline,L,20130507,770190799,0085002.48
002288,Europe                      ,Fruits         ,Offline,H,20180811,266543614,0012131.94
002289,Middle East and North Africa,Personal Care  ,Offline,M,20190922,148695075,0025861.92
002290,Asia                        ,Fruits         ,Offline,H,20100930,568256509,0020687.44
002291,Sub-Saharan Africa          ,Office Supplies,Online ,C,20131220,847151744,1247476.25
002292,Asia                        ,Cosmetics      ,Online ,L,20100529,827617108,1590736.63
002293,Europe                      ,Household      ,Offline,M,20200106,422201430,1266177.25
002294,Sub-Saharan Africa          ,Beverages      ,Online ,L,20101011,963766038,0135333.72
002295,Central America and the Cari,Snacks         ,Online ,L,20101231,255484759,0136361.22
002296,Europe                      ,Fruits         ,Offline,H,20180601,220843923,0003564.39
002297,Middle East and North Africa,Beverages      ,Online ,H,20160318,153642356,0078957.72
002298,Europe                      ,Office Supplies,Offline,M,20100622,767991387,0577341.25
002299,Australia and Oceania       ,Personal Care  ,Offline,C,20140218,148314845,0213335.78
002300,Middle East and North Africa,Clothes        ,Offline,M,20200329,499349057,0538902.75
002301,Middle East and North Africa,Office Supplies,Offline,H,20180103,496142852,1079437.50
002302,Europe                      ,Beverages      ,Online ,C,20190712,234057557,0026418.42
002303,Europe                      ,Clothes        ,Online ,L,20110902,778767001,0243527.05
002304,Europe                      ,Snacks         ,Offline,C,20141121,116257512,0112265.04
002305,Sub-Saharan Africa          ,Meat           ,Offline,H,20130916,802827918,0198827.20
002306,Middle East and North Africa,Household      ,Offline,C,20150722,515089547,0878037.56
002307,Sub-Saharan Africa          ,Meat           ,Offline,H,20130421,599966228,0125496.80
002308,Sub-Saharan Africa          ,Clothes        ,Online ,H,20120116,224694287,0065214.72
002309,Europe                      ,Vegetables     ,Offline,M,20130102,426822555,0324109.41
002310,Europe                      ,Snacks         ,Offline,H,20181207,964212357,0039590.52
002311,Middle East and North Africa,Cosmetics      ,Offline,M,20180112,765037524,0079806.33
002312,North America               ,Clothes        ,Online ,L,20100914,177784383,0675941.75
002313,Central America and the Cari,Cereal         ,Online ,L,20141123,521251761,0782604.06
002314,Asia                        ,Household      ,Offline,H,20171221,934550988,0540279.81
002315,Central America and the Cari,Beverages      ,Offline,H,20140227,627105891,0053619.84
002316,Asia                        ,Baby Food      ,Online ,H,20200724,228652799,0220382.14
002317,Europe                      ,Cosmetics      ,Online ,M,20180516,439240539,1719748.13
002318,Sub-Saharan Africa          ,Office Supplies,Online ,L,20110901,679230439,1039795.00
002319,Europe                      ,Baby Food      ,Offline,L,20110516,439296329,0613599.88
002320,Australia and Oceania       ,Household      ,Online ,L,20190325,630424535,0908863.31
002321,Europe                      ,Personal Care  ,Online ,C,20110930,433913886,0090616.96
002322,Middle East and North Africa,Fruits         ,Offline,C,20200526,451375710,0002308.78
002323,Europe                      ,Personal Care  ,Offline,C,20190514,454733836,0117832.12
002324,Europe                      ,Cosmetics      ,Online ,M,20160524,736224591,0707998.63
002325,Middle East and North Africa,Personal Care  ,Offline,H,20150525,758396804,0133369.31
002326,Middle East and North Africa,Vegetables     ,Offline,L,20110203,504111802,0425496.19
002327,Central America and the Cari,Beverages      ,Offline,C,20151001,926543414,0057018.06
002328,Asia                        ,Meat           ,Offline,M,20110121,799177968,0193050.00
002329,Australia and Oceania       ,Meat           ,Offline,H,20170818,765814292,0018418.40
002330,Central America and the Cari,Baby Food      ,Online ,H,20141027,190563714,0085602.98
002331,Europe                      ,Fruits         ,Online ,C,20100320,307850062,0020554.89
002332,Asia                        ,Cereal         ,Offline,M,20121126,172409665,0771264.56
002333,Middle East and North Africa,Meat           ,Offline,H,20170611,709291350,0224624.41
002334,Central America and the Cari,Office Supplies,Offline,M,20191120,663856446,1102162.50
002335,Central America and the Cari,Clothes        ,Offline,L,20120614,651778781,0343699.19
002336,Australia and Oceania       ,Beverages      ,Offline,L,20100330,909044682,0084203.82
002337,Middle East and North Africa,Snacks         ,Online ,C,20131031,841952979,0080008.14
002338,Sub-Saharan Africa          ,Snacks         ,Online ,H,20140806,377114999,0306743.81
002339,Middle East and North Africa,Personal Care  ,Online ,H,20101007,411454570,0185569.30
002340,Asia                        ,Office Supplies,Online ,M,20121007,562208020,1098627.50
002341,North America               ,Household      ,Online ,L,20160628,516924178,1359980.38
002342,Europe                      ,Office Supplies,Online ,C,20190503,483464372,0846632.50
002343,Sub-Saharan Africa          ,Cosmetics      ,Online ,L,20141105,740002429,0350869.66
002344,Australia and Oceania       ,Household      ,Online ,H,20190621,285024678,0661428.44
002345,Europe                      ,Cosmetics      ,Offline,H,20130921,887329947,1652634.38
002346,Sub-Saharan Africa          ,Office Supplies,Online ,M,20110917,336029565,0943087.50
002347,Sub-Saharan Africa          ,Meat           ,Offline,H,20121230,990547358,0219076.00
002348,Sub-Saharan Africa          ,Beverages      ,Online ,M,20180827,330619657,0102698.28
002349,North America               ,Household      ,Online ,L,20150321,406295287,0109216.07
002350,Central America and the Cari,Cereal         ,Online ,L,20120209,187935578,0280741.72
002351,Europe                      ,Beverages      ,Offline,M,20141129,516214358,0127707.30
002352,Europe                      ,Meat           ,Offline,C,20200106,952117955,0098155.20
002353,Asia                        ,Fruits         ,Offline,H,20191222,226945197,0016826.62
002354,Asia                        ,Personal Care  ,Offline,C,20190712,292307412,0228396.84
002355,Europe                      ,Personal Care  ,Online ,C,20190802,470128428,0007618.24
002356,Sub-Saharan Africa          ,Office Supplies,Online ,L,20111109,602644574,0602970.00
002357,Europe                      ,Vegetables     ,Offline,L,20160416,602404677,0239010.19
002358,Central America and the Cari,Cereal         ,Offline,C,20110730,902270066,0054748.62
002359,Sub-Saharan Africa          ,Clothes        ,Online ,H,20150427,205414569,0410603.03
002360,Europe                      ,Cereal         ,Online ,C,20140723,435324513,0093196.68
002361,Asia                        ,Baby Food      ,Online ,H,20131113,885798728,0611874.38
002362,Sub-Saharan Africa          ,Beverages      ,Online ,C,20190503,470948541,0046886.04
002363,Middle East and North Africa,Household      ,Online ,L,20111024,875197780,1545763.75
002364,Sub-Saharan Africa          ,Household      ,Offline,L,20160605,703282773,0970514.88
002365,Europe                      ,Office Supplies,Online ,C,20110912,430252349,0010857.50
002366,Sub-Saharan Africa          ,Fruits         ,Online ,C,20200530,151467835,0003742.73
002367,Asia                        ,Meat           ,Offline,H,20180930,932603061,0390390.00
002368,Middle East and North Africa,Vegetables     ,Online ,C,20160617,759644353,0284085.00
002369,Sub-Saharan Africa          ,Beverages      ,Online ,L,20190621,388890540,0003257.28
002370,Asia                        ,Vegetables     ,Offline,C,20131021,196952950,0101639.30
002371,Sub-Saharan Africa          ,Meat           ,Offline,C,20130927,630755412,0194365.59
002372,Middle East and North Africa,Vegetables     ,Online ,L,20130828,857534253,0145009.61
002373,Sub-Saharan Africa          ,Clothes        ,Online ,M,20141019,114838302,0151286.41
002374,Asia                        ,Vegetables     ,Online ,C,20191126,860528886,0535026.75
002375,Central America and the Cari,Beverages      ,Online ,C,20170304,222779834,0068246.28
002376,Middle East and North Africa,Beverages      ,Offline,C,20170915,350077474,0071393.94
002377,Sub-Saharan Africa          ,Baby Food      ,Offline,L,20180124,761220633,0091642.16
002378,Middle East and North Africa,Meat           ,Online ,C,20160422,595320641,0426826.41
002379,Asia                        ,Snacks         ,Online ,C,20170508,861801326,0276692.53
002380,Europe                      ,Fruits         ,Online ,L,20161130,390399014,0015903.59
002381,Sub-Saharan Africa          ,Beverages      ,Offline,C,20170729,781162536,0034577.28
002382,Asia                        ,Baby Food      ,Offline,H,20120919,554453217,0372224.38
002383,Central America and the Cari,Personal Care  ,Offline,H,20130408,100944888,0017291.40
002384,Europe                      ,Meat           ,Offline,H,20100411,331623876,0213298.80
002385,Sub-Saharan Africa          ,Snacks         ,Offline,M,20120429,427789008,0062253.06
002386,Sub-Saharan Africa          ,Cosmetics      ,Offline,M,20181027,991051614,0530477.38
002387,Europe                      ,Office Supplies,Online ,M,20140815,893335521,0844233.75
002388,Sub-Saharan Africa          ,Cereal         ,Online ,H,20180306,426877057,0111800.58
002389,Sub-Saharan Africa          ,Snacks         ,Offline,C,20120104,854225051,0167074.20
002390,Sub-Saharan Africa          ,Cereal         ,Online ,L,20120324,358240830,0024539.43
002391,Europe                      ,Office Supplies,Online ,M,20200527,792098224,1050526.25
002392,Europe                      ,Baby Food      ,Online ,C,20180324,929283559,0432424.47
002393,Europe                      ,Cosmetics      ,Offline,H,20150815,513595664,0560730.75
002394,North America               ,Cereal         ,Offline,H,20130428,709145867,0077604.84
002395,Europe                      ,Beverages      ,Offline,M,20181203,950357997,0014172.30
002396,Asia                        ,Personal Care  ,Online ,M,20200212,291968381,0220202.22
002397,Australia and Oceania       ,Cosmetics      ,Offline,M,20110619,559025847,1221610.63
002398,Europe                      ,Vegetables     ,Online ,C,20100530,496891725,0009974.54
002399,Sub-Saharan Africa          ,Cereal         ,Offline,L,20191112,721239840,0863841.06
002400,Middle East and North Africa,Cereal         ,Online ,M,20120225,568056523,0833100.38
002401,Sub-Saharan Africa          ,Beverages      ,Online ,H,20191205,343640601,0152606.70
002402,Asia                        ,Cereal         ,Offline,C,20130308,874603402,0304483.84
002403,Central America and the Cari,Fruits         ,Online ,L,20110715,357868754,0000414.52
002404,Asia                        ,Personal Care  ,Offline,M,20140919,210672986,0041925.38
002405,Europe                      ,Household      ,Online ,H,20180814,120564925,1109562.38
002406,Central America and the Cari,Meat           ,Offline,M,20200820,295405900,0344630.00
002407,Sub-Saharan Africa          ,Office Supplies,Online ,L,20140427,113369739,0944350.00
002408,Asia                        ,Office Supplies,Online ,C,20160211,372942769,0114635.00
002409,Middle East and North Africa,Personal Care  ,Online ,C,20170324,142923820,0079916.34
002410,Europe                      ,Snacks         ,Online ,C,20100519,812424218,0178377.91
002411,Sub-Saharan Africa          ,Baby Food      ,Online ,M,20160710,240867793,0669773.81
002412,Sub-Saharan Africa          ,Clothes        ,Offline,M,20150505,407990872,0177724.80
002413,Central America and the Cari,Cereal         ,Offline,L,20141003,663842284,0402110.00
002414,Middle East and North Africa,Fruits         ,Offline,L,20130629,878783357,0000913.39
002415,Asia                        ,Cereal         ,Offline,M,20170221,993487918,0354980.13
002416,Europe                      ,Beverages      ,Offline,C,20110525,568942296,0023850.18
002417,Sub-Saharan Africa          ,Cosmetics      ,Online ,H,20100312,136445319,1053130.63
002418,Asia                        ,Cereal         ,Online ,H,20180413,747608315,0245305.70
002419,Australia and Oceania       ,Baby Food      ,Online ,H,20150305,824355113,0369252.72
002420,Europe                      ,Beverages      ,Offline,H,20131221,208922040,0055264.14
002421,Central America and the Cari,Cosmetics      ,Online ,H,20130328,613857924,0531346.75
002422,Central America and the Cari,Office Supplies,Offline,L,20130117,672024095,0721897.50
002423,Asia                        ,Beverages      ,Online ,H,20200422,886594378,0028720.44
002424,Middle East and North Africa,Cosmetics      ,Offline,H,20110515,481055104,0652012.50
002425,Asia                        ,Fruits         ,Online ,L,20120311,549205100,0002046.09
002426,Asia                        ,Personal Care  ,Online ,C,20180304,905155694,0113747.34
002427,Central America and the Cari,Baby Food      ,Online ,C,20100227,533330714,0312982.91
002428,Europe                      ,Snacks         ,Offline,H,20130412,738466489,0413494.88
002429,Sub-Saharan Africa          ,Household      ,Offline,C,20160930,195611846,0786720.31
002430,Asia                        ,Clothes        ,Offline,M,20110409,800128114,0333711.38
002431,Australia and Oceania       ,Meat           ,Offline,H,20151019,917689120,0197854.80
002432,Australia and Oceania       ,Cereal         ,Online ,M,20180914,334281194,0007884.51
002433,Asia                        ,Personal Care  ,Online ,M,20150317,706203162,0001603.84
002434,Sub-Saharan Africa          ,Cosmetics      ,Online ,M,20120922,610066354,0181868.02
002435,Sub-Saharan Africa          ,Clothes        ,Online ,C,20141104,492794597,0567470.88
002436,Sub-Saharan Africa          ,Cosmetics      ,Online ,M,20151210,421624219,1187706.00
002437,Europe                      ,Vegetables     ,Offline,C,20170405,534104049,0133330.56
002438,Sub-Saharan Africa          ,Beverages      ,Online ,C,20101104,588095414,0146530.63
002439,Asia                        ,Clothes        ,Offline,L,20161224,411772143,0101567.52
002440,Sub-Saharan Africa          ,Fruits         ,Offline,M,20140908,353620564,0007321.58
002441,Australia and Oceania       ,Cereal         ,Offline,C,20110318,832439506,0549523.75
002442,Europe                      ,Office Supplies,Online ,H,20150425,987340295,0604611.25
002443,Sub-Saharan Africa          ,Beverages      ,Offline,L,20100708,927746760,0152497.08
002444,Sub-Saharan Africa          ,Household      ,Offline,L,20131207,383395230,0666731.81
002445,Europe                      ,Beverages      ,Offline,L,20170612,954334533,0119814.66
002446,Middle East and North Africa,Snacks         ,Online ,C,20140609,260925996,0146396.70
002447,Sub-Saharan Africa          ,Office Supplies,Online ,L,20151101,493843448,1023256.25
002448,Asia                        ,Personal Care  ,Offline,C,20120907,764073216,0127780.94
002449,Middle East and North Africa,Fruits         ,Online ,C,20130729,252914130,0004256.06
002450,Europe                      ,Fruits         ,Online ,H,20171128,461977517,0019925.88
002451,Sub-Saharan Africa          ,Office Supplies,Online ,M,20100718,263187205,0226997.50
002452,Sub-Saharan Africa          ,Cosmetics      ,Online ,H,20200817,848779523,0274193.00
002453,North America               ,Fruits         ,Offline,H,20191226,781303298,0009309.83
002454,Middle East and North Africa,Cereal         ,Offline,H,20140111,943619859,0614814.63
002455,Asia                        ,Cereal         ,Offline,C,20150112,488903033,0542790.94
002456,Sub-Saharan Africa          ,Household      ,Online ,L,20150516,890639150,1453617.88
002457,Australia and Oceania       ,Cereal         ,Online ,H,20140413,992627036,0819723.25
002458,Europe                      ,Vegetables     ,Offline,L,20120629,158978021,0251509.92
002459,Asia                        ,Snacks         ,Online ,H,20170808,524115931,0353226.84
002460,Middle East and North Africa,Vegetables     ,Offline,M,20170421,242777097,0125818.09
002461,Sub-Saharan Africa          ,Beverages      ,Online ,C,20161106,240010344,0050879.34
002462,Europe                      ,Office Supplies,Offline,H,20120418,161177003,0594890.00
002463,Europe                      ,Clothes        ,Offline,M,20170401,621950900,0583627.69
002464,North America               ,Vegetables     ,Online ,M,20140923,958318364,0413817.16
002465,Europe                      ,Cosmetics      ,Online ,L,20151231,576578223,0202384.69
002466,Europe                      ,Meat           ,Online ,H,20120609,303341805,0253739.20
002467,Asia                        ,Baby Food      ,Offline,H,20121221,135532939,0581199.19
002468,Asia                        ,Baby Food      ,Offline,L,20170502,590387952,0744832.19
002469,Europe                      ,Snacks         ,Offline,H,20100920,455455672,0458213.41
002470,Sub-Saharan Africa          ,Clothes        ,Online ,C,20111130,838597428,0621963.38
002471,Sub-Saharan Africa          ,Beverages      ,Offline,H,20140618,217987048,0095009.22
002472,Europe                      ,Office Supplies,Online ,H,20130604,292110860,0119937.50
002473,Australia and Oceania       ,Fruits         ,Online ,L,20100916,129767692,0024097.59
002474,Middle East and North Africa,Vegetables     ,Online ,L,20200530,220068871,0134088.13
002475,Sub-Saharan Africa          ,Household      ,Offline,C,20100109,222438228,0541771.38
002476,Central America and the Cari,Snacks         ,Online ,C,20120911,316612088,0077637.12
002477,Central America and the Cari,Household      ,Online ,H,20141217,752639281,0255721.39
002478,Sub-Saharan Africa          ,Household      ,Offline,H,20150719,500881135,0118165.49
002479,Sub-Saharan Africa          ,Meat           ,Offline,C,20200116,402011477,0170742.00
002480,Europe                      ,Meat           ,Offline,H,20140220,917016637,0254883.20
002481,Sub-Saharan Africa          ,Cosmetics      ,Offline,L,20111011,777195441,1435644.63
002482,Middle East and North Africa,Clothes        ,Offline,M,20170914,134159219,0701278.56
002483,Sub-Saharan Africa          ,Personal Care  ,Online ,L,20110607,109831798,0013131.44
002484,Middle East and North Africa,Household      ,Offline,L,20161003,546449506,0896102.13
002485,Sub-Saharan Africa          ,Cosmetics      ,Online ,H,20101108,456561172,0947765.38
002486,Sub-Saharan Africa          ,Baby Food      ,Offline,L,20150308,273028123,0378071.84
002487,Europe                      ,Cosmetics      ,Online ,M,20150409,499024188,0208991.73
002488,Middle East and North Africa,Office Supplies,Online ,L,20190717,358035695,1208591.25
002489,Asia                        ,Household      ,Offline,M,20110310,943861472,1398595.50
002490,Central America and the Cari,Office Supplies,Offline,C,20170905,270612847,1162762.50
002491,Australia and Oceania       ,Meat           ,Offline,M,20191113,922713649,0018761.60
002492,Australia and Oceania       ,Cosmetics      ,Offline,H,20101020,604900205,0394337.16
002493,Asia                        ,Cereal         ,Offline,H,20111010,692221343,0224398.47
002494,Europe                      ,Office Supplies,Offline,H,20130629,380038392,0083325.00
002495,Australia and Oceania       ,Household      ,Online ,M,20130708,734025180,0533153.44
002496,Sub-Saharan Africa          ,Baby Food      ,Online ,C,20101202,640168035,0843759.75
002497,Middle East and North Africa,Meat           ,Offline,L,20110811,854765784,0174174.00
002498,Sub-Saharan Africa          ,Cosmetics      ,Online ,H,20120425,854429757,0627149.06
002499,Sub-Saharan Africa          ,Cereal         ,Online ,M,20160812,186083781,0458984.78
002500,Middle East and North Africa,Cereal         ,Online ,M,20181122,716964185,0397769.09
002501,Sub-Saharan Africa          ,Cosmetics      ,Online ,M,20200522,784619796,0919424.56
002502,Sub-Saharan Africa          ,Clothes        ,Offline,M,20130223,146911942,0246978.72
002503,Sub-Saharan Africa          ,Snacks         ,Online ,L,20170616,432014453,0084474.48
002504,Central America and the Cari,Snacks         ,Offline,H,20120501,188413655,0255959.88
002505,Middle East and North Africa,Fruits         ,Offline,M,20150920,734908378,0011025.75
002506,Sub-Saharan Africa          ,Personal Care  ,Offline,M,20141226,310609948,0131339.45
002507,Europe                      ,Fruits         ,Offline,H,20150117,824942195,0018272.62
002508,Middle East and North Africa,Fruits         ,Online ,L,20110816,207641446,0011020.93
002509,Asia                        ,Cosmetics      ,Online ,L,20171226,958756530,1081123.63
002510,Europe                      ,Clothes        ,Online ,C,20161028,698648774,0334372.31
002511,Australia and Oceania       ,Vegetables     ,Offline,L,20190125,717992007,0545758.88
002512,Central America and the Cari,Clothes        ,Online ,C,20151006,127772557,0704583.38
002513,Central America and the Cari,Beverages      ,Online ,H,20150630,809289252,0086584.14
002514,Australia and Oceania       ,Personal Care  ,Offline,H,20170831,664153420,0165671.66
002515,Asia                        ,Personal Care  ,Offline,L,20171030,364288890,0000826.98
002516,Middle East and North Africa,Office Supplies,Online ,L,20130119,201931989,0633522.50
002517,Europe                      ,Snacks         ,Offline,L,20171207,539631545,0431249.94
002518,Sub-Saharan Africa          ,Cosmetics      ,Online ,L,20160702,460248887,1169797.38
002519,Sub-Saharan Africa          ,Baby Food      ,Online ,C,20100501,916957843,0676484.00
002520,Europe                      ,Meat           ,Offline,C,20130309,683244740,0352180.41
002521,Europe                      ,Cereal         ,Online ,L,20130810,402908408,0744687.56
002522,North America               ,Snacks         ,Offline,M,20120502,340060174,0011965.38
002523,Asia                        ,Beverages      ,Offline,H,20161213,829123866,0078801.12
002524,Europe                      ,Fruits         ,Online ,C,20150228,924835813,0020060.84
002525,Central America and the Cari,Beverages      ,Online ,C,20120317,652244842,0040684.68
002526,Europe                      ,Clothes        ,Offline,M,20141108,556712281,0175521.59
002527,Sub-Saharan Africa          ,Meat           ,Online ,H,20150421,353911960,0530129.63
002528,Sub-Saharan Africa          ,Snacks         ,Offline,C,20171221,279830205,0376661.34
002529,Middle East and North Africa,Personal Care  ,Online ,L,20120925,640765845,0143042.48
002530,Sub-Saharan Africa          ,Cereal         ,Offline,L,20120512,463330209,0758330.38
002531,Central America and the Cari,Baby Food      ,Offline,M,20150129,644447124,0486968.81
002532,Middle East and North Africa,Personal Care  ,Offline,M,20200814,801352918,0175194.45
002533,Europe                      ,Fruits         ,Online ,L,20140308,621596419,0007348.09
002534,Middle East and North Africa,Cosmetics      ,Offline,C,20140720,313038957,0702260.94
002535,Sub-Saharan Africa          ,Personal Care  ,Offline,C,20150410,153854358,0194916.69
002536,Central America and the Cari,Meat           ,Offline,L,20110529,942528951,0235435.20
002537,Sub-Saharan Africa          ,Cereal         ,Offline,C,20150720,847861564,0879964.50
002538,Asia                        ,Cereal         ,Online ,L,20200602,358963525,0366674.00
002539,Asia                        ,Personal Care  ,Online ,C,20141120,935258662,0067085.62
002540,Central America and the Cari,Cereal         ,Offline,C,20100919,956483304,0311836.81
002541,Sub-Saharan Africa          ,Office Supplies,Offline,C,20151101,672686278,0211216.25
002542,Central America and the Cari,Fruits         ,Offline,C,20180409,854228913,0010056.93
